camp_id,company_name,camp_date,location,camp_type,vendor
CMP1000,Kapoor and Sons,2025-04-25,Thane,Cardiac Specialist,MedCamp Services
CMP1001,"Sami, Oak and Mall",2025-08-17,Thane,General,CarePlus Camps
CMP1002,"Bala, Issac and Saini",2026-07-13,Aurangabad,Eye Camp,MedCamp Services
CMP1003,"Bala, Issac and Saini",2025-01-31,Mumbai,Diabetes Specialist,CarePlus Camps
CMP1004,Sidhu-Wadhwa,2025-01-28,Mumbai,Eye Camp,MedCamp Services
CMP1005,"Yadav, Loke and Oak",2026-04-05,Nashik,General,MedCamp Services
CMP1006,"Konda, Gade and Shere",2026-03-09,Nashik,Diabetes Specialist,MedCamp Services
CMP1007,Sen PLC,2025-12-11,Pune,Eye Camp,MedCamp Services
CMP1008,Madan-Kanda,2026-01-03,Aurangabad,Cardiac Specialist,MedCamp Services
CMP1009,Bhatt-Rajan,2026-04-16,Pune,Eye Camp,MedCamp Services
CMP1010,Patla-Gaba,2026-07-20,Kolhapur,Cardiac Specialist,CarePlus Camps
CMP1011,Kaul PLC,2025-07-16,Pune,Diabetes Specialist,HealthFirst Diagnostics
CMP1012,"Memon, Pathak and Handa",2025-03-23,Kolhapur,General,HealthFirst Diagnostics
CMP1013,"Yohannan, Lall and Sangha",2025-10-12,Thane,Cardiac Specialist,MedCamp Services
CMP1014,Madan-Kanda,2026-01-15,Mumbai,Cardiac Specialist,CarePlus Camps
CMP1015,Memon Group,2025-03-15,Thane,Diabetes Specialist,CarePlus Camps
CMP1016,Chanda Group,2025-09-08,Nagpur,Eye Camp,HealthFirst Diagnostics
CMP1017,"Memon, Pathak and Handa",2026-07-25,Thane,Cardiac Specialist,MedCamp Services
CMP1018,"Chaudry, Chahal and Sami",2025-08-23,Kolhapur,Cardiac Specialist,HealthFirst Diagnostics
CMP1019,Kaul PLC,2025-10-02,Mumbai,Cardiac Specialist,MedCamp Services
CMP1020,Bhatti-Kakar,2026-05-27,Thane,Eye Camp,MedCamp Services
CMP1021,"Sami, Oak and Mall",2025-09-29,Mumbai,Cardiac Specialist,CarePlus Camps
CMP1022,"Yadav, Loke and Oak",2026-03-15,Nagpur,Cardiac Specialist,MedCamp Services
CMP1023,Batta Inc,2025-05-22,Nagpur,General,MedCamp Services
CMP1024,Kale LLC,2025-04-23,Thane,Diabetes Specialist,CarePlus Camps
CMP1025,Memon Group,2026-03-09,Pune,Eye Camp,HealthFirst Diagnostics
CMP1026,Dutta Ltd,2026-04-25,Nashik,General,CarePlus Camps
CMP1027,Bhatt-Rajan,2025-04-28,Kolhapur,Cardiac Specialist,CarePlus Camps
CMP1028,Ahuja-Dutta,2025-12-15,Nashik,Eye Camp,MedCamp Services
CMP1029,"Choudhury, Bakshi and Maharaj",2026-04-10,Thane,Cardiac Specialist,CarePlus Camps
CMP1030,Batta Inc,2025-07-02,Pune,Cardiac Specialist,CarePlus Camps
CMP1031,Memon Group,2026-06-04,Mumbai,Diabetes Specialist,HealthFirst Diagnostics
CMP1032,Bhatt-Rajan,2025-06-15,Kolhapur,General,CarePlus Camps
CMP1033,Upadhyay Group,2025-11-28,Pune,General,HealthFirst Diagnostics
CMP1034,"Boase, Bath and Kari",2025-11-11,Pune,Diabetes Specialist,CarePlus Camps
CMP1035,"Bala, Issac and Saini",2025-03-22,Thane,Eye Camp,MedCamp Services
CMP1036,"Sami, Oak and Mall",2026-06-30,Mumbai,Eye Camp,CarePlus Camps
CMP1037,Buch-Kaul,2025-06-19,Aurangabad,Eye Camp,MedCamp Services
CMP1038,"Lalla, Bassi and Sharaf",2026-07-07,Thane,Cardiac Specialist,HealthFirst Diagnostics
CMP1039,Dewan-Koshy,2026-01-18,Aurangabad,Eye Camp,MedCamp Services
CMP1040,"Memon, Pathak and Handa",2025-09-11,Pune,Cardiac Specialist,MedCamp Services
CMP1041,"Memon, Pathak and Handa",2026-07-22,Aurangabad,Diabetes Specialist,MedCamp Services
CMP1042,Balan Inc,2025-03-14,Mumbai,General,MedCamp Services
CMP1043,Kaul PLC,2025-12-05,Aurangabad,Diabetes Specialist,HealthFirst Diagnostics
CMP1044,"Dash, Radhakrishnan and Brar",2026-05-13,Aurangabad,Diabetes Specialist,CarePlus Camps
CMP1045,Apte-Contractor,2026-08-08,Nagpur,Diabetes Specialist,HealthFirst Diagnostics
CMP1046,"Lalla, Bassi and Sharaf",2026-02-21,Pune,General,CarePlus Camps
CMP1047,Madan-Kanda,2026-03-18,Nagpur,Eye Camp,HealthFirst Diagnostics
CMP1048,Sen PLC,2025-02-25,Pune,Eye Camp,CarePlus Camps
CMP1049,Sen PLC,2025-12-14,Mumbai,Diabetes Specialist,MedCamp Services
CMP1050,Dewan-Koshy,2026-07-04,Mumbai,Eye Camp,MedCamp Services
CMP1051,"Yohannan, Lall and Sangha",2025-10-13,Mumbai,General,HealthFirst Diagnostics
CMP1052,Sen PLC,2026-07-18,Pune,General,MedCamp Services
CMP1053,Chanda Group,2025-08-31,Nagpur,Eye Camp,HealthFirst Diagnostics
CMP1054,Bhatti-Kakar,2025-08-07,Pune,Diabetes Specialist,HealthFirst Diagnostics
