device_id,device_type,assigned_camp_id,location,last_service_date,next_service_due
DEV5000,ECG Machine,CMP1020,Nashik,2026-05-28,2027-05-28
DEV5001,Weighing Scale,CMP1004,Nashik,2026-05-27,2027-05-27
DEV5002,Glucometer,CMP1113,Nagpur,2025-09-25,2026-03-24
DEV5003,Audiometer,CMP1048,Thane,2026-05-09,2026-11-05
DEV5004,Weighing Scale,CMP1073,Nagpur,2025-07-15,2026-07-15
DEV5005,Weighing Scale,CMP1021,Aurangabad,2026-01-13,2026-07-12
DEV5006,BP Monitor,CMP1024,Nagpur,2026-02-13,2026-05-14
DEV5007,X-Ray Machine,CMP1134,Thane,2026-03-15,2026-09-11
DEV5008,Glucometer,CMP1075,Thane,2026-01-15,2026-04-15
DEV5009,Weighing Scale,CMP1081,Aurangabad,2025-08-09,2026-02-05
DEV5010,Audiometer,CMP1099,Mumbai,2026-08-01,2026-10-30
DEV5011,Glucometer,CMP1021,Pune,2025-10-01,2026-03-30
DEV5012,Glucometer,CMP1035,Kolhapur,2025-07-16,2026-01-12
DEV5013,Glucometer,CMP1111,Pune,2025-08-05,2026-08-05
DEV5014,Weighing Scale,CMP1133,Mumbai,2026-05-03,2026-10-30
DEV5015,Weighing Scale,CMP1075,Thane,2026-03-23,2026-09-19
DEV5016,Glucometer,CMP1011,Pune,2025-08-28,2026-02-24
DEV5017,Glucometer,CMP1040,Kolhapur,2026-01-18,2026-07-17
DEV5018,Glucometer,CMP1075,Pune,2025-11-27,2026-11-27
DEV5019,ECG Machine,CMP1127,Mumbai,2026-05-20,2026-08-18
DEV5020,Vision Chart Unit,CMP1037,Nashik,2026-04-25,2026-07-24
DEV5021,X-Ray Machine,CMP1051,Nashik,2026-05-25,2026-11-21
DEV5022,Audiometer,CMP1099,Kolhapur,2026-05-23,2026-11-19
DEV5023,Weighing Scale,CMP1082,Thane,2026-07-22,2026-10-20
DEV5024,ECG Machine,CMP1099,Pune,2025-11-14,2026-11-14
DEV5025,BP Monitor,CMP1092,Kolhapur,2025-12-20,2026-03-20
DEV5026,Audiometer,CMP1038,Pune,2026-07-11,2027-01-07
DEV5027,Vision Chart Unit,CMP1058,Nashik,2025-09-22,2026-03-21
DEV5028,X-Ray Machine,CMP1030,Aurangabad,2026-04-29,2026-07-28
DEV5029,Glucometer,CMP1004,Nashik,2026-03-22,2026-09-18
DEV5030,X-Ray Machine,CMP1073,Thane,2025-09-29,2026-09-29
DEV5031,X-Ray Machine,CMP1032,Thane,2026-05-24,2026-08-22
DEV5032,BP Monitor,CMP1001,Aurangabad,2025-08-06,2026-08-06
DEV5033,Weighing Scale,CMP1069,Nashik,2026-06-26,2026-09-24
DEV5034,Vision Chart Unit,CMP1027,Kolhapur,2025-07-23,2025-10-21
DEV5035,Vision Chart Unit,CMP1019,Nashik,2026-03-20,2027-03-20
DEV5036,Audiometer,CMP1124,Aurangabad,2026-07-24,2027-07-24
DEV5037,Vision Chart Unit,CMP1050,Thane,2026-04-17,2026-10-14
DEV5038,Audiometer,CMP1123,Aurangabad,2025-09-17,2026-03-16
DEV5039,X-Ray Machine,CMP1077,Pune,2025-07-14,2026-07-14
DEV5040,BP Monitor,CMP1029,Nagpur,2025-07-17,2025-10-15
DEV5041,X-Ray Machine,CMP1023,Mumbai,2025-11-10,2026-02-08
DEV5042,Weighing Scale,CMP1132,Pune,2025-11-30,2026-11-30
DEV5043,Vision Chart Unit,CMP1003,Pune,2025-11-24,2026-02-22
DEV5044,Glucometer,CMP1038,Kolhapur,2025-08-25,2026-08-25
DEV5045,Glucometer,CMP1088,Nagpur,2026-03-02,2026-05-31
DEV5046,Audiometer,CMP1111,Kolhapur,2025-11-16,2026-11-16
DEV5047,ECG Machine,CMP1092,Aurangabad,2026-04-19,2027-04-19
DEV5048,ECG Machine,CMP1088,Kolhapur,2025-12-09,2026-06-07
DEV5049,X-Ray Machine,CMP1076,Aurangabad,2026-06-04,2026-12-01
DEV5050,X-Ray Machine,CMP1050,Thane,2025-11-14,2026-11-14
DEV5051,Audiometer,CMP1038,Nashik,2025-07-17,2026-01-13
DEV5052,Vision Chart Unit,CMP1047,Mumbai,2026-03-02,2026-08-29
DEV5053,X-Ray Machine,CMP1083,Pune,2025-09-15,2026-03-14
DEV5054,Weighing Scale,CMP1142,Kolhapur,2026-07-05,2027-01-01
DEV5055,BP Monitor,CMP1084,Pune,2026-05-05,2027-05-05
DEV5056,ECG Machine,CMP1093,Mumbai,2026-04-03,2026-09-30
DEV5057,Weighing Scale,CMP1047,Aurangabad,2025-10-29,2026-10-29
DEV5058,BP Monitor,CMP1067,Nagpur,2025-12-10,2026-03-10
DEV5059,Glucometer,CMP1097,Nagpur,2026-01-17,2026-07-16
DEV5060,Weighing Scale,CMP1032,Aurangabad,2025-08-11,2025-11-09
DEV5061,ECG Machine,CMP1082,Thane,2025-11-02,2026-05-01
DEV5062,Glucometer,CMP1020,Thane,2025-08-17,2026-08-17
DEV5063,BP Monitor,CMP1120,Nashik,2025-09-02,2025-12-01
DEV5064,Vision Chart Unit,CMP1055,Thane,2026-04-24,2026-07-23
DEV5065,ECG Machine,CMP1048,Pune,2026-01-21,2027-01-21
DEV5066,X-Ray Machine,CMP1101,Mumbai,2026-01-30,2027-01-30
DEV5067,Vision Chart Unit,CMP1008,Nagpur,2026-06-21,2027-06-21
DEV5068,BP Monitor,CMP1065,Kolhapur,2026-03-10,2027-03-10
DEV5069,BP Monitor,CMP1031,Pune,2026-03-27,2026-06-25
DEV5070,ECG Machine,CMP1073,Nashik,2026-01-22,2026-04-22
DEV5071,Audiometer,CMP1075,Nagpur,2026-05-28,2027-05-28
DEV5072,Vision Chart Unit,CMP1118,Nashik,2026-03-05,2026-09-01
DEV5073,X-Ray Machine,CMP1017,Aurangabad,2026-03-23,2026-06-21
DEV5074,BP Monitor,CMP1031,Thane,2025-09-29,2026-03-28
DEV5075,X-Ray Machine,CMP1062,Nashik,2026-02-04,2026-05-05
DEV5076,X-Ray Machine,CMP1110,Kolhapur,2025-10-15,2026-04-13
DEV5077,BP Monitor,CMP1023,Pune,2025-09-27,2026-03-26
DEV5078,Vision Chart Unit,CMP1052,Kolhapur,2025-07-20,2025-10-18
DEV5079,X-Ray Machine,CMP1075,Nashik,2025-09-18,2026-03-17
DEV5080,Glucometer,CMP1093,Thane,2025-10-05,2026-10-05
DEV5081,Vision Chart Unit,CMP1091,Kolhapur,2025-08-09,2026-08-09
DEV5082,Glucometer,CMP1017,Thane,2025-10-30,2026-10-30
DEV5083,Weighing Scale,CMP1023,Kolhapur,2025-11-10,2026-11-10
DEV5084,Glucometer,CMP1013,Thane,2025-12-08,2026-12-08
DEV5085,ECG Machine,CMP1146,Aurangabad,2026-06-03,2026-09-01
DEV5086,Weighing Scale,CMP1065,Mumbai,2026-05-22,2026-11-18
DEV5087,X-Ray Machine,CMP1131,Mumbai,2025-12-18,2026-06-16
DEV5088,Weighing Scale,CMP1011,Mumbai,2025-11-30,2026-05-29
DEV5089,X-Ray Machine,CMP1042,Mumbai,2026-04-21,2026-07-20
DEV5090,ECG Machine,CMP1067,Aurangabad,2026-04-13,2027-04-13
DEV5091,BP Monitor,CMP1074,Nagpur,2026-07-19,2027-01-15
DEV5092,BP Monitor,CMP1079,Thane,2026-04-25,2027-04-25
DEV5093,X-Ray Machine,CMP1101,Aurangabad,2025-07-27,2026-07-27
DEV5094,Glucometer,CMP1120,Thane,2025-12-14,2026-06-12
DEV5095,BP Monitor,CMP1117,Pune,2025-11-27,2026-05-26
DEV5096,Glucometer,CMP1105,Kolhapur,2026-04-17,2026-10-14
DEV5097,Glucometer,CMP1003,Pune,2025-07-14,2026-01-10
DEV5098,Glucometer,CMP1035,Mumbai,2025-08-29,2026-02-25
DEV5099,BP Monitor,CMP1046,Kolhapur,2025-10-31,2026-01-29
DEV5100,Weighing Scale,CMP1032,Pune,2025-08-22,2026-08-22
DEV5101,Audiometer,CMP1128,Nagpur,2025-10-15,2026-01-13
DEV5102,Glucometer,CMP1142,Kolhapur,2025-11-06,2026-02-04
DEV5103,X-Ray Machine,CMP1109,Nashik,2026-03-28,2026-09-24
DEV5104,Weighing Scale,CMP1052,Mumbai,2025-08-11,2025-11-09
DEV5105,Vision Chart Unit,CMP1092,Thane,2026-08-03,2027-01-30
DEV5106,Weighing Scale,CMP1042,Thane,2025-10-12,2026-04-10
DEV5107,Glucometer,CMP1102,Thane,2025-07-15,2025-10-13
DEV5108,ECG Machine,CMP1139,Nashik,2026-01-17,2026-04-17
DEV5109,X-Ray Machine,CMP1051,Nashik,2026-04-12,2026-07-11
DEV5110,X-Ray Machine,CMP1087,Aurangabad,2025-09-08,2026-03-07
DEV5111,Weighing Scale,CMP1143,Pune,2025-08-01,2026-01-28
DEV5112,Vision Chart Unit,CMP1079,Kolhapur,2026-06-12,2027-06-12
DEV5113,BP Monitor,CMP1039,Nashik,2025-12-30,2026-06-28
DEV5114,BP Monitor,CMP1099,Thane,2026-05-08,2026-08-06
DEV5115,Weighing Scale,CMP1022,Nagpur,2026-04-10,2026-10-07
DEV5116,BP Monitor,CMP1078,Aurangabad,2025-07-17,2026-07-17
DEV5117,X-Ray Machine,CMP1096,Nashik,2025-08-10,2026-08-10
DEV5118,BP Monitor,CMP1021,Thane,2025-09-22,2026-09-22
DEV5119,ECG Machine,CMP1148,Nashik,2026-01-10,2027-01-10
DEV5120,Audiometer,CMP1141,Kolhapur,2026-02-04,2027-02-04
DEV5121,ECG Machine,CMP1146,Nashik,2025-09-22,2026-09-22
DEV5122,Weighing Scale,CMP1063,Nagpur,2026-05-15,2026-08-13
DEV5123,BP Monitor,CMP1053,Kolhapur,2025-10-19,2026-01-17
DEV5124,Vision Chart Unit,CMP1100,Nashik,2026-01-11,2026-04-11
DEV5125,X-Ray Machine,CMP1125,Nagpur,2025-10-17,2026-04-15
DEV5126,Weighing Scale,CMP1126,Nagpur,2025-12-15,2026-06-13
DEV5127,Weighing Scale,CMP1053,Nashik,2025-12-02,2026-05-31
DEV5128,BP Monitor,CMP1053,Kolhapur,2025-10-26,2026-04-24
DEV5129,Glucometer,CMP1065,Aurangabad,2026-03-03,2026-06-01
DEV5130,ECG Machine,CMP1056,Kolhapur,2026-07-02,2027-07-02
DEV5131,Weighing Scale,CMP1139,Kolhapur,2025-10-28,2026-01-26
DEV5132,Glucometer,CMP1125,Kolhapur,2026-03-09,2026-06-07
DEV5133,X-Ray Machine,CMP1003,Thane,2026-06-03,2026-09-01
DEV5134,BP Monitor,CMP1093,Kolhapur,2025-12-01,2026-05-30
DEV5135,BP Monitor,CMP1019,Pune,2026-07-25,2026-10-23
DEV5136,BP Monitor,CMP1085,Nashik,2026-04-16,2027-04-16
DEV5137,ECG Machine,CMP1072,Mumbai,2025-11-12,2026-02-10
DEV5138,Glucometer,CMP1064,Nagpur,2025-07-21,2025-10-19
DEV5139,Audiometer,CMP1019,Nashik,2025-09-26,2025-12-25
DEV5140,BP Monitor,CMP1022,Pune,2025-10-13,2026-10-13
DEV5141,Glucometer,CMP1024,Kolhapur,2025-08-02,2026-08-02
DEV5142,Audiometer,CMP1117,Thane,2026-01-24,2026-07-23
DEV5143,ECG Machine,CMP1146,Pune,2025-10-02,2025-12-31
DEV5144,X-Ray Machine,CMP1135,Thane,2026-02-14,2026-08-13
DEV5145,Glucometer,CMP1146,Nagpur,2026-07-26,2027-01-22
DEV5146,X-Ray Machine,CMP1099,Nagpur,2025-12-15,2026-12-15
DEV5147,Weighing Scale,CMP1100,Pune,2026-05-08,2026-08-06
DEV5148,Audiometer,CMP1049,Nagpur,2026-07-16,2026-10-14
DEV5149,ECG Machine,CMP1057,Thane,2026-05-08,2026-11-04
DEV5150,ECG Machine,CMP1130,Kolhapur,2026-05-12,2026-08-10
DEV5151,Weighing Scale,CMP1112,Mumbai,2026-01-22,2027-01-22
DEV5152,Weighing Scale,CMP1120,Pune,2026-03-25,2026-09-21
DEV5153,ECG Machine,CMP1092,Thane,2025-09-02,2026-09-02
DEV5154,X-Ray Machine,CMP1040,Kolhapur,2025-12-24,2026-12-24
DEV5155,BP Monitor,CMP1030,Pune,2025-12-01,2026-05-30
DEV5156,ECG Machine,CMP1024,Kolhapur,2025-08-25,2026-02-21
DEV5157,Glucometer,CMP1052,Thane,2025-12-13,2026-12-13
DEV5158,Audiometer,CMP1105,Pune,2026-05-07,2027-05-07
DEV5159,Weighing Scale,CMP1087,Nagpur,2025-10-12,2026-04-10
DEV5160,Vision Chart Unit,CMP1137,Kolhapur,2025-11-21,2026-11-21
DEV5161,Weighing Scale,CMP1107,Kolhapur,2025-09-14,2026-09-14
DEV5162,Audiometer,CMP1134,Nashik,2026-07-07,2026-10-05
DEV5163,Glucometer,CMP1051,Nashik,2025-08-29,2026-08-29
DEV5164,Glucometer,CMP1098,Nashik,2025-11-25,2026-05-24
DEV5165,X-Ray Machine,CMP1105,Nashik,2026-04-22,2027-04-22
DEV5166,BP Monitor,CMP1043,Nagpur,2026-03-22,2026-09-18
DEV5167,Glucometer,CMP1101,Kolhapur,2026-04-28,2026-07-27
DEV5168,Glucometer,CMP1089,Aurangabad,2025-11-29,2026-11-29
DEV5169,Vision Chart Unit,CMP1085,Aurangabad,2026-01-19,2026-07-18
DEV5170,Vision Chart Unit,CMP1099,Nagpur,2025-12-24,2026-12-24
DEV5171,Audiometer,CMP1149,Thane,2025-09-26,2026-03-25
DEV5172,Vision Chart Unit,CMP1020,Nashik,2026-03-26,2026-09-22
DEV5173,Audiometer,CMP1061,Nashik,2026-02-08,2027-02-08
DEV5174,Audiometer,CMP1081,Thane,2025-12-25,2026-06-23
DEV5175,Vision Chart Unit,CMP1033,Nashik,2026-07-21,2027-07-21
DEV5176,X-Ray Machine,CMP1113,Nagpur,2026-07-27,2027-01-23
DEV5177,Vision Chart Unit,CMP1001,Aurangabad,2026-05-14,2027-05-14
DEV5178,Vision Chart Unit,CMP1134,Aurangabad,2025-08-02,2026-01-29
DEV5179,X-Ray Machine,CMP1066,Nashik,2026-01-17,2026-07-16
