camp_id,employees_scanned,revenue,staff_cost,consumables_cost
CMP1000,75,20775,10909,2345
CMP1001,361,180500,22293,11802
CMP1002,313,95778,30349,25800
CMP1003,207,63756,20836,9923
CMP1004,305,117120,27395,25275
CMP1005,283,152537,28769,16459
CMP1006,305,106750,15735,24943
CMP1007,51,23868,10857,2336
CMP1008,150,62100,22653,12259
CMP1009,230,89240,31128,19961
CMP1010,310,171120,14893,25203
CMP1011,51,21726,29911,3847
CMP1012,368,126224,21431,11740
CMP1013,279,73656,31796,15124
CMP1014,310,151900,18948,17348
CMP1015,280,78400,23757,9831
CMP1016,398,209746,30288,34442
CMP1017,121,67397,13974,5366
CMP1018,244,72712,15157,15664
CMP1019,105,36330,24121,6058
CMP1020,226,125656,29122,14756
CMP1021,192,114048,11357,13822
CMP1022,146,55042,24325,7982
CMP1023,296,141488,8294,14820
CMP1024,395,200660,33509,35057
CMP1025,290,158340,10167,21897
CMP1026,361,164977,29010,18700
CMP1027,55,25740,16759,1784
CMP1028,58,27956,25292,2453
CMP1029,315,188370,29151,15146
CMP1030,311,120357,24786,27411
CMP1031,45,16470,16333,2747
CMP1032,219,106434,14981,12257
CMP1033,208,122096,17330,14852
CMP1034,43,17157,16595,2890
CMP1035,285,98040,24845,9537
CMP1036,45,15570,11856,3690
CMP1037,323,164407,16023,25036
CMP1038,239,91059,16051,17772
CMP1039,82,38458,24136,6121
CMP1040,206,117214,24468,16421
CMP1041,173,66778,9364,10907
CMP1042,377,204711,18336,33851
CMP1043,340,122400,8784,14278
CMP1044,135,76950,9103,7785
CMP1045,230,108790,8166,18557
CMP1046,215,70735,21871,14439
CMP1047,67,20971,32353,3463
CMP1048,145,84390,9237,12170
CMP1049,350,194600,29574,23571
CMP1050,235,82250,15174,7350
CMP1051,347,115898,16057,17868
CMP1052,244,104920,16674,21506
CMP1053,165,43725,22423,10862
CMP1054,343,106330,34320,17559
CMP1055,70,23940,30368,4044
CMP1056,123,32349,11849,4767
CMP1057,361,202521,19707,15486
CMP1058,325,135525,8143,10178
CMP1059,105,36960,10568,7335
CMP1060,312,100152,30930,10089
CMP1061,394,175724,24946,14806
CMP1062,68,27472,25312,5607
CMP1063,394,104804,26566,17434
CMP1064,68,29036,17742,4205
CMP1065,269,97109,24915,13862
CMP1066,288,160416,22649,23932
CMP1067,340,176460,32525,13267
CMP1068,208,119808,30279,10326
CMP1069,309,93627,20279,25177
CMP1070,314,103620,23925,12158
CMP1071,387,133902,33057,23573
CMP1072,110,52030,16994,8922
CMP1073,340,146540,11226,20490
CMP1074,134,58290,19964,9218
CMP1075,391,181424,33362,24113
CMP1076,309,181692,31718,10739
CMP1077,213,117576,9344,9504
CMP1078,302,94526,26847,16728
CMP1079,357,149226,17939,16317
CMP1080,296,142672,20703,10714
CMP1081,213,54741,31219,16131
CMP1082,302,160966,17231,19663
CMP1083,98,40768,32153,3119
CMP1084,332,105908,29443,15045
CMP1085,248,98704,9345,10971
CMP1086,210,55230,22536,18052
CMP1087,251,139054,19832,12750
CMP1088,220,122540,30864,17158
CMP1089,147,64386,18899,8893
CMP1090,79,22199,24639,5956
CMP1091,108,63612,12998,6134
CMP1092,208,83824,22648,15820
CMP1093,271,154741,24274,23313
CMP1094,179,78760,26822,14755
CMP1095,229,90455,31201,8484
CMP1096,151,77463,22659,5874
CMP1097,187,102850,34615,14714
CMP1098,287,159285,23398,19212
CMP1099,48,24096,10035,3486
CMP1100,209,91124,27655,18600
CMP1101,320,130560,26651,22809
CMP1102,253,122958,16688,21586
CMP1103,94,44462,21971,3567
CMP1104,387,208206,19171,29909
CMP1105,377,188500,11847,14794
CMP1106,226,124300,15241,11437
CMP1107,55,18480,33445,3136
CMP1108,268,102912,28449,19846
CMP1109,50,22100,17867,1871
CMP1110,119,39032,24083,4623
CMP1111,287,130011,19811,12008
CMP1112,72,28368,34772,3748
CMP1113,97,55387,14617,4518
CMP1114,294,169344,34841,9691
CMP1115,213,83922,19945,10689
CMP1116,163,64874,19573,8368
CMP1117,212,92432,22258,16554
CMP1118,102,47634,26292,8912
CMP1119,379,136061,14669,19852
CMP1120,376,186872,30916,33175
CMP1121,252,116424,24678,8376
CMP1122,353,152496,32858,10754
CMP1123,337,99752,8982,20275
CMP1124,66,26400,14583,2294
CMP1125,85,37315,18801,6020
CMP1126,326,134964,33098,12883
CMP1127,360,196560,22968,23394
CMP1128,154,69300,26218,8165
CMP1129,63,35595,30336,5539
CMP1130,75,44400,30281,4141
CMP1131,308,167552,24962,27411
CMP1132,319,136851,29175,22570
CMP1133,85,22695,20076,4446
CMP1134,322,112700,27569,11172
CMP1135,95,41705,14704,3837
CMP1136,122,55754,17340,4014
CMP1137,352,122144,30477,24876
CMP1138,161,58121,26699,9016
CMP1139,295,162250,9394,12123
CMP1140,41,24190,29925,3418
CMP1141,318,170448,28849,18079
CMP1142,126,73710,10057,8010
CMP1143,354,126732,25308,16931
CMP1144,270,139320,11255,20293
CMP1145,251,120731,22164,13616
CMP1146,179,57101,32220,5454
CMP1147,159,64077,24793,11441
CMP1148,135,54000,14106,10067
CMP1149,247,116584,17571,14534
